phrase,freq,f_len,max_subgram_freq,partial_order,min_support,mutual_confidence,f_avg_wordlength,f_pos_nn,f_pos_prop,f_pos_verb,f_pos_adj,f_pos_deter,f_pos_empty,f_pos_other,f_completeness,f_postagUniqueness,is_know_phrase
a im,1,2,0,0,0.07,-1,1.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,1
a lternative laser source,1,4,3,0,0.07,-1,5.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,2
a) advanced ew enabling technology - d evelop,1,8,1,0,-1,-1,4.75,0.875,0.0,0.0,0.0,0.0,0.125,0.0,0,0,2
ability,25,1,0,0,1.79,-1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
ability to: detect,2,3,0,0,0.08,-1,5.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
ability to: sense,1,3,0,0,0.04,-1,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
academia submarine partnership,1,3,1,0,0.07,-1,9.33,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
academia submarine partnership fy,1,4,1,0,0.07,-1,7.5,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0,0,1
academia,3,1,0,0,0.21,-1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
academic research fleet,3,3,0,0,0.21,-1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
accelerate research progress,2,3,1,0,0.14,-1,8.67,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
accelerate capability delivery,1,3,1,0,0.07,-1,9.33,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,2
accelerated timeframe,1,2,0,0,0.07,-1,10.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
accelerating delivery,1,2,0,0,0.07,-1,10.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,2
access,2,1,0,0,0.14,-1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
accommodate information flow,1,3,1,0,0.07,-1,8.67,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,2
accomplishment,48,1,0,0,3.43,-1,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
accomplishment : mc wl fd,1,5,1,0,0.02,-1,4.2,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0,0,2
accounting service,2,2,0,0,0.14,-1,8.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
accounting service (df,1,3,2,0,0.07,-1,6.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
accurate decision making,1,3,21,0,0.07,-1,7.33,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
accurate decision-making,1,2,0,0,0.07,-1,11.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
accurate understanding,2,2,0,0,0.14,-1,10.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
achieve reduced weight,1,3,1,0,0.07,-1,6.67,0.333,0.0,0.667,0.0,0.0,0.0,0.0,0,0,1
acid nanostructures,1,2,0,0,0.07,-1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
acoustic congressional interest,1,3,4,0,0.07,-1,9.67,0.333,0.0,0.0,0.667,0.0,0.0,0.0,0,0,2
acoustic data set,2,3,6,0,0.14,-1,5.0,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
acoustic propagation,2,2,0,0,0.14,-1,9.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
acoustic sensor,1,2,0,0,0.07,-1,7.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
acoustic research fy,2,3,1,0,0.14,-1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
acquisition,3,1,0,0,0.21,-1,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
acquisition . fy,1,3,0,0,0.07,-1,4.67,0.667,0.0,0.0,0.0,0.0,0.333,0.0,0,0,1
acquisition decision,57,2,0,0,4.07,-1,9.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
acquisition decision warfighting system,89,4,131,0,1.56,0.557,9.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0,0,2
acquisition decision warfighting system department information security concern,16,8,131,0,0.18,1.259,9.0,0.875,0.0,0.125,0.0,0.0,0.0,0.0,0,0,2
acquisition decision warfighting system department information security concern project effort,3,10,131,0,0.19,0.811,8.5,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0,0,2
acquisition decision warfighting system department information security concern project effort research activity,3,12,131,0,0.19,0.682,8.42,0.917,0.0,0.083,0.0,0.0,0.0,0.0,0,0,2
acquisition decision warfighting system department information security concern project effort research activity technology development plan,1,15,131,0,0.33,0.259,8.4,0.933,0.0,0.067,0.0,0.0,0.0,0.0,0,0,2
acquisition decision warfighting system information security concern,6,7,131,0,0.07,1.086,8.86,0.857,0.0,0.143,0.0,0.0,0.0,0.0,0,0,2
acquisition decision warfighting system information security concern project effort,1,9,131,0,0.01,0.784,8.33,0.889,0.0,0.111,0.0,0.0,0.0,0.0,0,0,2
acquisition platform,1,2,0,0,0.07,-1,9.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
acquisition potential,29,2,0,0,2.07,-1,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
acquisition potential . on,1,4,29,0,0.03,-1,5.75,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0,0,2
acquisition potential naval research,7,4,747,0,0.24,0.024,8.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
acquisition potential naval research demonstrates inps,25,6,747,0,0.86,0.37,8.17,0.833,0.0,0.167,0.0,0.0,0.0,0.0,0,0,2
acquisition potential naval research demonstrates inps existing capability,1,8,747,0,0.04,3.0,8.38,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0,0,2
acquisition process,5,2,0,0,0.36,-1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
acquisition process future year defense program,1,6,5,0,0.2,-1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
acquisition program,131,2,0,0,9.36,-1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
acquisition program acquisition decision,33,4,131,0,0.25,1.439,9.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
acquisition program acquisition decision warfighting system,40,6,131,0,0.31,0.653,9.0,0.833,0.0,0.167,0.0,0.0,0.0,0.0,0,0,2
acquisition program acquisition decision warfighting system department information security concern,11,10,131,0,0.28,2.448,9.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0,0,2
acquisition program acquisition decision warfighting system department information security concern project effort,2,12,131,0,0.18,1.797,8.58,0.917,0.0,0.083,0.0,0.0,0.0,0.0,0,0,2
acquisition program acquisition decision warfighting system department information security concern project effort research activity,1,14,131,0,0.09,1.5,8.5,0.929,0.0,0.071,0.0,0.0,0.0,0.0,0,0,2
acquisition program acquisition program,1,4,131,0,0.01,0.504,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
acquisition program base responsiveness,1,4,131,0,0.01,66.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
acquisition program conduct advanced technology development,1,6,131,0,0.01,0.985,9.0,0.833,0.0,0.167,0.0,0.0,0.0,0.0,0,0,2
acquisition program effort focus,1,4,131,0,0.01,66.0,7.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
acquisition program program element,1,4,172,0,0.01,0.384,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
acquisition sponsor,1,2,0,0,0.07,-1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
acquisition stakeholder,2,2,0,0,0.14,-1,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
acquisition title,2,2,0,0,0.14,-1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
action,2,1,0,0,0.14,-1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
actionable information,1,2,0,0,0.07,-1,10.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
active acoustic sensing,1,3,0,0,0.07,-1,7.0,0.333,0.0,0.0,0.667,0.0,0.0,0.0,0,0,4
active aperture array,1,3,1,0,0.07,-1,6.33,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,4
activity,10,1,0,0,0.71,-1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
activity develops technology,1,3,0,0,0.07,-1,8.67,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,1
activity include secure,7,3,0,0,0.5,-1,7.0,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,2
activity include secure communication network,1,5,7,0,0.07,-1,8.2,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0,0,2
activity includes marine corp warfighting laboratory / future directorate,1,9,310,0,-1,-1,7.22,0.889,0.0,0.111,0.0,0.0,0.0,0.0,0,0,2
activity primary focus,1,3,0,0,0.07,-1,6.67,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,1
activity provides freedom,1,3,0,0,0.07,-1,7.67,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,1
activity project,41,2,0,1,2.93,-1,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
activity project advanced technology development,25,5,67,0,0.61,0.493,8.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
activity project advanced technology development amos,1,6,67,0,0.02,-1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
activity project advanced technology development hijenks,1,6,67,0,0.02,-1,8.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
activity project advanced technology development hypersonic booster,1,7,67,0,0.02,1.75,8.71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
activity project advanced technology development locust,1,6,67,0,0.02,-1,8.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
activity project advanced technology development minerva,1,6,67,0,0.02,-1,8.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
activity project advanced technology development super swarm,1,7,67,0,0.02,5.25,7.71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
activity project applied research,9,4,41,0,0.22,0.926,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
activity project applied research elektra,1,5,41,0,0.02,-1,7.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
activity project applied research minerva,1,5,41,0,0.02,-1,7.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
actual environment,1,2,0,0,0.07,-1,8.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
actuator modeling,2,2,0,0,0.14,-1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
adaptive capability,2,2,0,0,0.14,-1,9.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
adaptive congressional interest,1,3,4,0,0.07,-1,9.67,0.333,0.0,0.0,0.667,0.0,0.0,0.0,0,0,2
adaptive sampling scheme,1,3,1,0,0.07,-1,7.33,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,4
add subtotal,5,2,0,0,0.36,-1,5.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
add subtotal activity,2,3,5,0,0.14,-1,6.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
add subtotal naval research,1,4,747,0,0.07,0.004,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
add subtotal the office,1,4,5,0,0.07,-1,5.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0,0,2
addition,4,1,0,0,0.29,-1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
addition `sep` on,1,3,0,0,0.07,-1,3.67,0.667,0.0,0.0,0.0,0.0,0.333,0.0,0,0,2
additional defense university research instrumentation program (du rip) award,1,9,15,0,-1,-1,7.67,0.889,0.0,0.0,0.111,0.0,0.0,0.0,0,0,2
additional physical dimension,2,3,0,0,0.14,-1,9.0,0.333,0.0,0.0,0.667,0.0,0.0,0.0,0,0,2
additional warfighter need,1,3,1,0,0.07,-1,8.0,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
additive manufacturing,3,2,0,0,0.21,-1,10.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
additive manufacturing fy,1,3,3,0,0.07,-1,7.67,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
address naval capability,2,3,0,0,0.14,-1,7.33,0.333,0.0,0.0,0.667,0.0,0.0,0.0,0,0,1
address,3,1,0,0,0.21,-1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
address emergent,2,2,0,0,0.14,-1,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
address future navy,1,3,0,0,0.07,-1,5.67,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,1
address readiness challenge,8,3,0,0,0.57,-1,8.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
address readiness challenge improving quality,1,5,8,0,0.07,-1,8.2,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0,0,2
address technology,1,2,0,0,0.07,-1,8.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
address contingency event,1,3,1,0,0.07,-1,7.67,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,2
address cost,1,2,0,0,0.07,-1,5.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,1
address warfighter protection,2,3,2,0,0.14,-1,9.0,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,2
address warfighter protection performance concern,1,5,3,0,0.07,-1,9.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0,0,2
address advanced technology development,29,4,67,0,2.07,-1,9.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0,0,2
address advanced technology development elektra inp effort,1,7,67,0,0.03,-1,7.43,0.857,0.0,0.143,0.0,0.0,0.0,0.0,0,0,2
address advanced technology development hijenks inp effort,1,7,67,0,0.03,-1,7.43,0.857,0.0,0.143,0.0,0.0,0.0,0.0,0,0,2
address advanced technology development hypersonic booster inp effort,1,8,67,0,0.03,-1,7.75,0.875,0.0,0.125,0.0,0.0,0.0,0.0,0,0,2
address advanced technology development locust inp effort,1,7,67,0,0.03,-1,7.29,0.857,0.0,0.143,0.0,0.0,0.0,0.0,0,0,2
address advanced technology development mdusv inp effort,1,7,67,0,0.03,-1,7.14,0.857,0.0,0.143,0.0,0.0,0.0,0.0,0,0,1
address advanced technology development minerva inp inp investment,1,8,67,0,0.03,-1,7.38,0.875,0.0,0.125,0.0,0.0,0.0,0.0,0,0,2
address advanced technology development undersea warfare inp effort,1,8,67,0,0.03,-1,7.5,0.875,0.0,0.125,0.0,0.0,0.0,0.0,0,0,1
address applied research,1,3,27,0,0.07,-1,7.33,0.333,0.0,0.667,0.0,0.0,0.0,0.0,0,1,2
address applied research fsuw inp effort,1,6,27,0,0.33,-1,5.83,0.833,0.0,0.167,0.0,0.0,0.0,0.0,0,0,2
address manufacturing technology,1,3,3,0,0.07,-1,10.0,0.333,0.0,0.667,0.0,0.0,0.0,0.0,0,0,2
address target,34,2,0,0,2.43,-1,6.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,1
address target project unit,1,4,57,0,0.03,0.307,6.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0,0,2
addressing affordability,1,2,0,0,0.07,-1,11.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,4
addressing safety,1,2,0,0,0.07,-1,8.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,4
adhesion fy,1,2,0,0,0.07,-1,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
adhesive bonding,1,2,0,0,0.07,-1,7.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
adhesive,1,1,0,0,0.07,-1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
adv tec dev,64,3,0,0,4.57,-1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
adv tec dev . in p,11,6,64,0,0.17,-1,2.17,0.833,0.0,0.0,0.0,0.0,0.167,0.0,0,0,1
adv tec dev develop hardware,2,5,64,0,0.03,-1,4.8,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0,0,2
adv tec dev develop hardware service use,1,7,138,0,0.02,-1,4.86,0.857,0.0,0.143,0.0,0.0,0.0,0.0,0,0,2
adv tec dev inp,4,4,64,1,0.06,-1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
adv tec dev inp inps,1,5,268,0,0.02,-1,3.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
advance therapeutic approach,1,3,0,0,0.07,-1,8.67,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
advance development,1,2,0,0,0.07,-1,9.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,4
advance manufacturing technology,2,3,3,0,0.14,-1,10.0,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,4
advance manufacturing technology reduce cost,1,5,3,0,0.07,-1,8.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0,0,2
advance mount development,1,3,1,0,0.07,-1,7.67,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,1
advanced aspect,2,2,0,0,0.14,-1,7.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
advanced beam control,1,3,4,0,0.07,-1,6.33,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,1
advanced communication system,1,3,3,0,0.07,-1,9.0,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,4
advanced component,1,2,0,0,0.07,-1,8.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
advanced degree,3,2,0,0,0.21,-1,7.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
advanced demonstration,1,2,0,0,0.07,-1,10.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
advanced development,3,2,0,0,0.21,-1,9.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
advanced electrical power system,1,4,1,0,0.07,-1,7.25,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
advanced electronic warfare technology,1,4,32,0,0.07,-1,8.75,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
advanced energy technology,1,3,13,0,0.07,-1,8.0,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,4
advanced fiber,2,2,0,0,0.14,-1,6.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
advanced force,1,2,0,0,0.07,-1,6.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
advanced lethality,1,2,0,0,0.07,-1,8.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
advanced manufacturing technology,1,3,3,0,0.07,-1,10.33,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
advanced mining technology,1,3,1,0,0.07,-1,8.0,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,4
advanced naval material,6,3,0,0,0.43,-1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2
advanced offensive mission,3,3,0,0,0.21,-1,8.0,0.333,0.0,0.0,0.667,0.0,0.0,0.0,0,0,2
advanced remote,1,2,0,0,0.07,-1,7.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
advanced research focus,1,3,2,0,0.07,-1,7.0,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
advanced sensor,4,2,0,0,0.29,-1,7.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
advanced ship concept,1,3,1,0,0.07,-1,6.33,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
advanced signal processing technique,2,4,10,0,0.14,-1,8.25,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
advanced technology capability concept,1,4,12,0,0.07,-1,8.75,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0,0,2
advanced technology development,67,3,12,1,4.79,-1,9.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
advanced technology development initiative,1,4,67,0,0.01,-1,9.75,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0,0,2
advanced technology development program,1,4,67,0,0.01,-1,9.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0,1,4
advanced technology investment,1,3,12,0,0.07,-1,9.33,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,4
advanced technology research,2,3,12,0,0.14,-1,8.67,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
advanced technology,12,2,0,0,0.86,-1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
advanced undersea weapon,2,3,1,0,0.14,-1,7.33,0.333,0.0,0.0,0.667,0.0,0.0,0.0,0,0,2
advanced,1,1,0,0,0.07,-1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
advanced ew enabling,1,3,0,0,0.07,-1,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
advanced ew enabling technology,1,4,1,0,0.07,-1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
advanced material development,3,3,2,0,0.21,-1,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
advanced naval material description,1,4,6,0,0.07,-1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
advanced naval material effort support,1,5,6,0,0.07,-1,6.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
advanced naval material effort support several science,1,7,6,0,0.17,-1,6.86,0.857,0.0,0.0,0.143,0.0,0.0,0.0,0,0,2
advanced naval material technology,1,4,6,0,0.07,-1,7.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
advanced technology resource,2,3,12,0,0.14,-1,8.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
advanced technology development activity,1,4,67,0,0.01,-1,9.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
advanced technology development activity . in investment,1,7,67,0,0.01,6.5,7.14,0.857,0.0,0.0,0.0,0.0,0.143,0.0,0,0,2
advanced technology development atd,69,4,67,0,1.03,-1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3
advanced technology development atd technology readiness level,67,7,400,0,0.97,0.099,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
advanced technology development atd technology readiness level future naval,1,9,400,0,0.01,1.083,7.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
advanced technology development claw,1,4,67,0,0.01,-1,8.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
advanced technology development innovative naval prototype,17,6,67,1,0.25,0.238,8.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
advanced technology development innovative naval prototype (in,2,7,67,0,0.03,0.292,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
advanced technology development innovative naval prototype cyber warfare,1,8,67,0,0.01,0.325,8.12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
advanced technology development innovative naval prototype investment represent game changing technology,1,11,67,0,0.06,0.283,8.55,0.818,0.0,0.182,0.0,0.0,0.0,0.0,0,0,1
advanced technology development investment,37,4,67,0,0.55,-1,9.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
advanced technology development investment deter conflict,4,6,67,0,0.06,0.8,8.67,0.833,0.0,0.167,0.0,0.0,0.0,0.0,0,0,2
advanced technology development investment deter conflict called upon,1,8,67,0,0.01,0.591,7.75,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0,0,2
advanced technology development investment future naval capability program,1,8,82,0,0.01,6.5,8.38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
advanced technology development mdusv,1,4,67,0,0.01,-1,8.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
advanced technology development nlws,1,4,67,0,0.01,-1,8.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
advanced technology inp,1,3,12,0,0.07,-1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
advanced technology naval,41,3,12,0,2.93,-1,7.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
